job_title,company,location
Business Analyst,Cloudtrend Inc.,"Edmonton, AB"
Data Analyst - Credit Risk,Dawn InfoTek Inc.,"Hybrid work in Toronto, ON"
Product Data Analyst,CONFORMiT,"Saguenay, QC"
Senior Data Engineering Analyst,City of Edmonton,"Edmonton, AB"
Tourism Research Analyst,Discover Halifax,"Hybrid work in Halifax, NS"
Business Analyst,City of Calgary,"Calgary, AB"
Business Analyst,Teck Resources Limited,"Sparwood, BC"
"2024 Fall - CAO, Analyst - Data Stewardship Intern (4 Months)",Royal Bank of Canada,"Toronto, ON"
Senior Data Analyst,Electronic Arts,"Vancouver, BC"
Business Intelligence (BI) Analyst,TAQA,"Hybrid work in Calgary, AB"
Data Analyst Intern,Product Care Association of Canada,"Hybrid work in Vancouver, BC"
Copy of Data Analyst and Solution Developer,INLAN,Remote
"Information and Data Analyst, Population Health Observatory",Fraser Health,"Surrey, BC"
data analyst - informatics and systems,Pearl Technologies LTD.,"Toronto, ON"
Junior Business Analyst,RPM TECHNOLOGIES CORP,"Toronto, ON"
Senior Health Workforce Analyst,Government of Alberta,"Edmonton, AB"
BI Analyst & Report Developer,Mini Mall Storage Properties,"Calgary, AB"
Web Analyst,Samsara,Remote
Health & Safety Business Analyst,Atco Ltd.,"Calgary, AB"
Market Analyst (12 month contract),Canadian National Railway,"Calgary, AB"
Senior BI Engineer,COREL CORPORATION USA,"Waterloo, ON"
Data Analyst,CTConsultants,"Hybrid work in Montréal, QC"
BI Engineer,Electronic Arts,"Vancouver, BC"
Gaming Data Analyst,BlazeSoft,"Concord, ON"
Data Governance Analyst,Alberta Motor Association,"Edmonton, AB"
Business & Policy Analyst,Simon Fraser University,"Burnaby, BC"
"Junior Analyst, Business & ERP",SECURE Energy,"Calgary, AB"
IT Business Analyst,Pinnacle Career Network,"Hybrid work in Vaughan, ON"
data analyst - informatics and systems,CBK INTERNATIONAL INC,"Mississauga, ON"
Microsoft Dynamics Business Analyst,Harris Corrections - Harris Computer Guardian...,Remote
FP&A Analyst,Busbud,Remote
QA Analyst,Dialpad,"Kitchener, ON"
Business Analyst - Software/Tech Company,Monark,"Remote in Surrey, BC"
Investigation Analyst,Manulife,"Waterloo, ON"
Data Management & Governance Analyst/ Specialist,Roche,"Mississauga, ON"
Knowledge Graph Data Analyst,Schema App,"Remote in Guelph, ON"
"Data Analyst, CAADSI",Fraser Health,"Hybrid work in Surrey, BC"
Business Systems Analyst Administrative Position: Full-Time (Temporary),The King's University (CA),"Edmonton, AB"
Policy Analyst,City of Winnipeg,"Winnipeg, MB"
Reporting and BI Lead,EZOPS,"Remote in Edmonton, AB"
BI Developer,Watson Building Supplies,"Vaughan, ON"
"Data Analyst, CAADSI",Fraser Health,"Hybrid work in Surrey, BC"
Business Systems Analyst Administrative Position: Full-Time (Temporary),The King's University (CA),"Edmonton, AB"
BI Developer,Watson Building Supplies,"Vaughan, ON"
IT Business Analyst,City of Richmond Hill,"Richmond Hill, ON"
Policy Analyst,City of Winnipeg,"Winnipeg, MB"
Reporting and BI Lead,EZOPS,"Remote in Edmonton, AB"
Senior Accounting Analyst,Charger Logistics Inc,"Brampton, ON"
Signal Processing Engineer and Data Analyst,INLAN,Remote
Business Data Analyst,BlazeSoft,"Vaughan, ON"
Vendor Data Support Analyst,Loblaw Companies Limited,"Brampton, ON"
Record & Information Management Analyst (Records Analyst II),Province of Nova Scotia,"Halifax, NS"
Data Analyst,Youville Haussmann Park,"Hybrid work in Montréal, QC"
Data Analyst (DAD/NACRS Coder) - Decision Support - Temporary Full-Time 2024-7887,Sunnybrook Health Sciences Centre,"Toronto, ON"
"Analyst, Group Benefits",Lloyd Sadd Insurance Brokers,"Edmonton, AB"
DATA ANALYST,HKJ Marketing,"Richmond, BC"
"Analyst, Digital Operations & Display",Canadian Tire Corporation,"Hybrid work in Toronto, ON"
"Analyst II, Strategic Insights",Affirm,"Remote in Toronto, ON"
Key Accounts Business Analyst Co-op - Fall,Hydro One Networks Inc,"Toronto, ON"
"Sr Analyst, Pred Modelling",Rogers Communications,"Toronto, ON"
"Business Analyst- Reconciliation With Certification (CBAP, CCBA, AAC)",Epsilon Solutions,"Mississauga, ON"
Risk Analyst Co-op,PC Financial,"Toronto, ON"
Solution Analyst,Rightsline,"Remote in Toronto, ON"
Senior Data Analyst,Scene+,"Toronto, ON"
Senior Data Analyst,OGGN Inc.,Remote
Data Analyst (2),Vantix Systems Inc,"Hybrid work in Edmonton, AB"
Business Systems Analyst - Intermediate,Insurance Corporation of British Columbia,"Hybrid work in North Vancouver, BC"
"Operations Analyst, Data Centre Operations-Information Technologies",The University of Calgary,"Calgary, AB"
GIS Analyst,Drivewyze,"Edmonton, AB"
Analyste Sénior.e / Senior Analyst - Data and Analytics (DnA),Electronic Arts,"Montréal, QC"
"Business Analyst, Operations Support and Analytics",Canadian Tire Corporation,"Mississauga, ON"
data warehouse analyst,VISAY TECHNOLOGIES INC,"Edmonton, AB"
business data analyst,Print Three,"Etobicoke, ON"
database analyst,Heritage Investment Corp,"Sherwood Park, AB"
GIS Data Analyst,Pinchin Ltd.,"Greater Sudbury, ON"
Business Data Analyst,BridgePoint Financial Group,"Hybrid work in Toronto, ON"
"Research Analyst, Academic Experience",University of Toronto,"Hybrid work in Mississauga, ON"
Senior Business Analyst,Canada Life Assurance Company,"London, ON"
Health Human Resource Analyst & Health Workforce Analyst,Government of Alberta,"Edmonton, AB"
Operations Research Analyst,Sophos,Canada
"Analyst, EHS Data Stewardship & Reporting",AltaGas,"Calgary, AB"
Analyst,Des Nedhe Management Inc,"Saskatoon, SK"
Resource Analyst,Silvacom Group,"Hybrid work in Edmonton, AB"
Data Analyst & Site Administration,Nutrien,"Red Deer, AB"
Velocity - Data Analyst Internship/Co-Op - Fall 2024,Scotiabank,"Toronto, ON"
"Data Analyst & Quality Improvement Lead, Mental Health – Ref #2024-074",Sioux Lookout First Nations Health Authority,"Sioux Lookout, ON"
Data Lineage Analyst,AppTad Technologies Pvt Ltd,"Toronto, ON"
business systems analyst,Be Epic Inc.,"Edmonton, AB"
Health Records Data Analyst - Health Records (CEN),Scarborough Health Network,"Toronto, ON"
Business Intelligence Developer Co-op Fall Season 2024,Ericsson,"Hybrid work in Ottawa, ON"
Business Analyst,SAIT,"Calgary, AB"
IT Business System Analyst,NOVONIX,Remote
"Analyst, Human Intelligence",Daniel J. Edelman Holdings,"Toronto, ON"
Business Intelligence Specialist,Construction and Equipment Divisional Services,"Saint John, NB"
Reliability Analyst,Porter Airlines Inc.,"Toronto, ON"
Senior Integrations Analyst - Data,fusionSpan,Remote
database analyst,Lacsay Solutions Inc.,"Fort Saskatchewan, AB"
business data analyst,IRIS R&D Group Inc.,"Burlington, ON"
business systems analyst,Minestar GP Ltd,"Millet, AB"
Data Analyst,IntegrateIT,"Winnipeg, MB"
business data analyst,Yukt Marketing INC,"Brampton, ON"
business data analyst,Yukt Marketing INC,"Brampton, ON"
business systems analyst,Minestar GP Ltd,"Millet, AB"
Data Analyst,IntegrateIT,"Winnipeg, MB"
"Database Analyst (Mainframe/TSO (JCL/ PROC, ISPF) and Mainframe SAS)",Dawn InfoTek Inc.,"Hybrid work in Toronto, ON"
Pension Business Analyst (Remote),Avenu Insights & Analytics,Remote in Canada
Senior Business Data and Policy Analyst,Government of Saskatchewan,"Regina, SK"
Brand Insights Analyst,Arc'teryx,"Hybrid work in North Vancouver, BC"
DLP Analyst,Zebra Technologies,"Hybrid work in Mississauga, ON"
Data Analyst and Labeller (VC Backed Top 20 Music Company Globally),Beatdapp,"Vancouver, BC"
Customer Insights Analyst,Nestle Operational Services Worldwide SA,"Montréal, QC"
Data Analyst (Event Analysis and Insight),DRW,"Montréal, QC"
ADMN O 24R - Policy Analyst,BC Public Service,British Columbia
"Analyst, Master Data Services",Gay Lea Foods,"Mississauga, ON"
data analyst - informatics and systems,JK Contracting and Consulting Inc.,"Burlington, ON"
business systems analyst,ANA TECHNOLOGY,"Edmonton, AB"
data analyst - informatics and systems,O2 Consulting,"Regina, SK"
SENIOR BUSINESS & SYSTEMS ANALYST,City of Toronto,"Toronto, ON"
"Business Data Analyst, Product",EXL Services,"Toronto, ON"
Business Analyst MIS & Analytics - Tahoe,Scotiabank,"Mississauga, ON"
Business Data Analyst- Inventory Management,Crown Food Service Equipment,"North York, ON"
business systems analyst,Gold Valley Daycare & Osc,"Leduc, AB"
Senior Business Analyst,Scotiabank,"Toronto, ON"
Product Data Analyst - T7100-2-C,GS1 Canada,"Hybrid work in Toronto, ON"
Business Intelligence Data Architect,Loopio,"Remote in Hub, NS"
Business Analyst - Senior,Dawn InfoTek Inc.,"Hybrid work in Guelph, ON"
Workforce Analyst,Aviva,"Hybrid work in Markham, ON"
IT (information technology) business analyst,QualPro Systems Inc.,"North York, ON"
Fall 2024 Co-op: Business Analyst (4 Months),CGI,"Toronto, ON"
"Analyst, Digital Health Systems",First Nations Health Authority,"Hybrid work in Metro Vancouver Regional District, BC"
Business Analyst (Contract),Intelliware Development Inc.,"Hybrid work in Toronto, ON"
Business Analyst - Senior,Dawn InfoTek Inc.,"Hybrid work in Guelph, ON"
Workforce Analyst,Aviva,"Hybrid work in Markham, ON"
Business Analyst (Contract),Intelliware Development Inc.,"Hybrid work in Toronto, ON"
IT (information technology) business analyst,QualPro Systems Inc.,"North York, ON"
Fall 2024 Co-op: Business Analyst (4 Months),CGI,"Toronto, ON"
"Business Analyst, SQL and Google Cloud",TELUS,"Remote in Toronto, ON"
"Analyst, Digital Health Systems",First Nations Health Authority,"Hybrid work in Metro Vancouver Regional District, BC"
"Analyst, Decision Support and Evaluation",Reconnect Community Health Services,"Toronto, ON"
Category Business Analyst ( Evergreen),Canadian Tire Corporation,"Hybrid work in Toronto, ON"
Senior Data Analyst,Aviva,"Hybrid work in Markham, ON"
"Analyst, Business Analytics",Mattamy Homes,"Mississauga, ON"
Asset Management Consultant and Data Analyst,GM BluePlan Engineering,"Guelph, ON"
Power BI Data analyst CO-OP,Mondelēz International,"Toronto, ON"
"Analyst, Low-Rise Asset Management",Greybrook,"Toronto, ON"
"Analyst, Economic Policy & Sustainability",Airports Council International,"Hybrid work in Montréal, QC"
Senior Data Analyst,DarkVision,"Vancouver, BC"
Business Systems Analyst,York University,"Toronto, ON"
Data Operations Analyst,Manulife,"Waterloo, ON"
"Analyst, Information Systems & Knowledge Management",Fraser Health,"Surrey, BC"
Data Business Analyst,Specsavers,"Hybrid work in Burnaby, BC"
business data analyst,Siga Home Comfort Inc.,"North York, ON"
Business Intelligence Specialist,Dawn InfoTek Inc.,"Hybrid work in Toronto, ON"
"Business Analyst, Health Information System",Grand River Hospital,"Kitchener, ON"
"Data analyst, sales and customer behavior",Vosker,"Hybrid work in Montréal, QC"
Business Systems Analyst II,CI Financial,"Hybrid work in Toronto, ON"
Functional Analyst,Medavie Blue Cross,New Brunswick
Systems Business Analyst,Royal Bank of Canada,"Bedford, NS"
Senior QA Analyst,Vantix Systems Inc,"Remote in Edmonton, AB"
Business Analyst,OGGN Inc.,Remote
Analyste de données / Data Analyst,Tenoris3,"Montréal, QC"
"Data analyst, sales and customer behavior",Vosker,"Hybrid work in Montréal, QC"
Business Systems Analyst II,CI Financial,"Hybrid work in Toronto, ON"
Systems Business Analyst,Royal Bank of Canada,"Bedford, NS"
Analyste de données / Data Analyst,Tenoris3,"Montréal, QC"
Senior QA Analyst,Vantix Systems Inc,"Remote in Edmonton, AB"
Business Analyst,OGGN Inc.,Remote
Junior GIS Analyst,Canadian Fiber Optics,"Hybrid work in Calgary, AB"
"Business Intelligence Developer, Scotiabank",Scotiabank,"Hybrid work in Toronto, ON"
"Analyst, Underwriting",Munich Reinsurance Company of Canada,"Hybrid work in Toronto, ON"
database analyst,EPIC - Educational Program Innovations Center,"Mississauga, ON"
2024 CFO - Fall Data Analyst - Wholesale Finance Data Strategy (4 Months),Royal Bank of Canada,"Toronto, ON"
Investment Data Governance Analyst,Healthcare of Ontario Pension Plan (HOOPP),"Toronto, ON"
"Analyst, Performance Programs",Canadian Air Transport Security Authority,"Hybrid work in Ottawa, ON"
DEVELOPER / DATA ANALYST,AXIS Database Marketing,"Mississauga, ON"
Senior Analyst Performance,Canadian Security Intelligence Service,"Ottawa, ON"
ARO Analyst,360 Engineering & Environmental Consulting Ltd.,"Hybrid work in Calgary, AB"
Lead Data Quality Analyst,Equifax,"Toronto, ON"
database analyst,Professional IT Experts Inc,"Calgary, AB"
Business System Analyst,Maplesoft Group,"Hybrid work in Ottawa, ON"
Asset Management Analyst,City of St. Catharines,"Hybrid work in St. Catharines, ON"
Charity Gaming Analyst,City of Mississauga,"Mississauga, ON"
Compensation Research Analyst - Provincial,Nova Scotia Health Authority,"Halifax, NS"
Agile Business Analyst,Global Excel Management,"Sherbrooke, QC"
Master Data Analyst,Blue Sky Resources Ltd.,"Calgary, AB"
Business Analyst/Quality Assurance Specialist,MCAN Mortgage Corporation,"Remote in Toronto, ON"
Health Information Analyst,St. Mary’s General Hospital,"Hybrid work in Kitchener, ON"
Business Insight Analyst - Temporary,Air Canada,"Dorval, QC"
Business Analyst,AlertDriving,"Toronto, ON"
Business Analyst,MGIS,"Ottawa, ON"
Sales Analyst,Apryse,Remote in Ontario
Software Quality Assurance Analyst,Colliers,"Toronto, ON"
Business Analyst,CGI,"Ottawa, ON"
Business Analyst,CSI Consulting,"Mississauga, ON"
Business Data Analyst - New Division,Breakthru Beverage Group,"Toronto, ON"
Senior Business Data Analyst (12-16 month term),Alberta Motor Association,"Remote in Edmonton, AB"
database analyst,ADVENT INFRATECH LIMITED,"Calgary, AB"
Performance Media Analyst,iProspect,"Toronto, ON"
"Analyst, Health System Analytics",Canadian Institute for Health Information,"Toronto, ON"
Senior Business Analyst,Providence Healthcare,"Vancouver, BC"
Senior BI Data Engineer,Hard Rock Digital,Hybrid work
Business Analyst,CRC,"Hybrid work in Toronto, ON"
Power BI Consultant,Jump Analytics,"Toronto, ON"
database analyst,Canpro Consulting Inc.,"Surrey, BC"
Business Analyst,PHSA,"Vancouver, BC"
"2024 CFO, Fall Data Analyst, Financial Resource Optimization (8 Months)",Royal Bank of Canada,"Toronto, ON"
Actuarial Analyst,THE EMPIRE LIFE INS. CO,"Remote in Kingston, ON"
Business Analyst,n! biomachines Ltd.,"Burlington, ON"
Business Analyst and Project Support,PHSA,"Vancouver, BC"
database analyst,NANSUN TECHNOLOGIES INC.,"Beaumont, AB"
"Business Intelligence Sales Representative, Looker",Google,"Toronto, ON"
Business Intelligence Manager,Saxxunderwear,Remote
DATA ANALYST,Canada-Europe Ltd.,"Montréal, QC"
Change Analyst,Aviva,"Hybrid work in Toronto, ON"
Digital Marketing Analyst,FortisBC,"Surrey, BC"
Research Analyst,iData Research,"Burnaby, BC"
Data Analyst,Solution SFT,"Hybrid work in Saint-Laurent, QC"
"Analyst, Loyalty",Four Seasons,"Hybrid work in Toronto, ON"
Manufacturing Analyst,Vista,"Windsor, ON"
"Fall 2024 Capital Markets, Data & Reporting Analyst",BMO Financial Group,"Toronto, ON"
Senior Modelling and Insights Analyst,Canadian Tire Corporation,"Hybrid work in Oakville, ON"
Senior Business Systems Analyst,CIBC,"Toronto, ON"
Intermediate Data and Security Analyst,EnGlobe Corp.,"Remote in Ottawa, ON"
"Manager, Business Intelligence & Analytics - Canadian Business Banking",Scotiabank,"Toronto, ON"
database analyst,R.E. ROYAL TRADING INC.,"Concord, ON"
IT Business Analyst – 4-month Co-op/Internship (Fall 2024),Intact,"Hybrid work in Montréal, QC"
Senior BI Developer/Analyst,Colliers,"Toronto, ON"
"Sr. Analyst, Staples Preferred Program",Staples,"Richmond Hill, ON"
Senior BI Engineer,Parallels,"Montréal, QC"
Team Lead – Data Analyst,Cirque du Soleil,"Hybrid work in Montréal, QC"
Sales and Purchasing Data Analyst,Avmax Careers - Canada,"Calgary, AB"
database analyst (DBA),BioAro Inc.,"Calgary, AB"
Consultant / Economic Analyst,OVMA,"Hybrid work in Milton, ON"
Clinical Research Analyst,University Health Network,"Princess Margaret, ON"
Senior Business Analyst - Strategy and Analytics,Capital One,"Hybrid work in Toronto, ON"
Market Research Analyst,The Minto Group,"Toronto, ON"
Consultant / Economic Analyst,OVMA,"Hybrid work in Milton, ON"
Market Research Analyst,The Minto Group,"Toronto, ON"
Clinical Research Analyst,University Health Network,"Princess Margaret, ON"
Senior Business Analyst - Strategy and Analytics,Capital One,"Hybrid work in Toronto, ON"
Senior Data Analyst,Olsen Consulting,"Calgary, AB"
Analyst/Administrative Assistant,Vancouver Coastal Health,"Richmond, BC"
Settlement Analyst,Rodan Energy Solutions Inc.,"Mississauga, ON"
Business Analyst,Fix Network,"Burlington, ON"
"Wind Energy Analyst, Renewable Energy",WSP,"Edmonton, AB"
"Analyst, Business Intelligence",Vancouver Whitecaps FC,"Hybrid work in Vancouver, BC"
Business Systems Analyst,StandardFusion,"Vancouver, BC"
database analyst,Nautical Consulting Group Ltd.,"Surrey, BC"
Senior Data Analyst / Database developer (PL571),Paralucent,"Hybrid work in Toronto, ON"
Senior Business Intelligence and Data Integration Developer,AGCO,"Toronto, ON"
Intermediate Business Analyst,Home Trust Company,"Toronto, ON"
Research Analyst,"Blake, Cassels & Graydon LLP","Hybrid work in Toronto, ON"
database analyst,FINXSYSTEMS TECHNOLOGY INC.,"Surrey, BC"
Senior Business Analyst - Tangerine,Tangerine,"Remote in Toronto, ON"
Data Management Analyst (1 year contract),Stella-Jones Inc.,"Montréal, QC"
Process Improvement Analyst,University of Toronto,"Toronto, ON"
Accounts Receivable (A/R) Analyst (6-month Contract) (Hybrid),Broadridge,"Toronto, ON"
IM Business Analyst,Messa,"Ottawa, ON"
Quality Assurance Analyst,Teleperformance,"Toronto, ON"
database analyst,A2Z Networks Inc,"Burnaby, BC"
database analyst,Meta Connections Inc.,"Chilliwack, BC"
Business Intelligence Analyst,Sarku Japan,"Hybrid work in Markham, ON"
Business Analyst,Cloud SynApps,"Mississauga, ON"
database analyst,Minestar GP Ltd,"Millet, AB"
Business Analyst,Canada-West Assurance,"Winnipeg, MB"
SPC Data Analyst,Magellan Aerospace,"Winnipeg, MB"
IT Business Analyst – Allegro & Power & Natural Gas,Trafigura,"Calgary, AB"
Data Engineering Analyst,Seaspan ULC,"Hybrid work in North Vancouver, BC"
Product Analyst - ONSITE/HYBRID,NTT DATA,"Toronto, ON"
Community Partnership Analyst,Halton Region,"Hybrid work in Halton, ON"
"Analyst, Business Insights",CI Financial,"Hybrid work in Toronto, ON"
"Senior IT Business Analyst (MFE Data & Insights) - Mississauga, CAD- w2",Techprism.inc,"Mississauga, ON"
Data Analyst - KENWAVE SOLUTIONS INC.,Kenaidan,"Greater Toronto Area, ON"
Senior Credit Analyst,Liebherr-Canada Ltd.,"Hybrid work in Burlington, ON"
Business Intelligence Engineer,British Columbia Investment Management Corporation...,"Victoria, BC"
Payroll Data Analyst - Dayforce implementation- 1 Year...,Trevor Frances Recruitment,"Hybrid work in Aurora, ON"
Business Analyst - Mental Health and Substance Use Services,Fraser Health,"Surrey, BC"
Analyst HR Analytics 18 months contract,Sobeys,"Dartmouth, NS"
"Senior Data Analyst, Lodging",Hopper,"Toronto, ON"
"Analyst, Life Cycle",City of Ottawa,"Ottawa, ON"
Senior Business Analyst – Information Technology,Alberta Blue Cross,Remote
Senior Pension Business Analyst (Remote),Avenu Insights & Analytics,"Remote in Mississauga, ON"
"Analyst, Business Systems",University of the Fraser Valley,"Abbotsford, BC"
Business Analyst (SaaS Product Management),LodgeLink,"Hybrid work in Calgary, AB"
"Health Care Business Analyst - Halifax, NS",Hashmap,"Halifax, NS"
"Business Intelligence Developer Co-Op, Supply Chain",Loblaw Companies Limited,"Hybrid work in Brampton, ON"
Senior Business Analyst,ThoughtStorm Inc,"Halifax, NS"
Data Warehouse Analyst,Zero11,"Abbotsford, BC"
Market Research & Budget Analyst,KIA CANADA INC,"Mississauga, ON"
Business Analyst (Amdocs Ensemble Billing/MPS/CSM Experience Mandatory),Zenith System Solutions Inc.,"Toronto, ON"
Business Systems Analyst,College of Registered Nurses of Manitoba (CRNM),"Hybrid work in Winnipeg, MB"
"Senior Data Analyst, ITS",Geotab,"Oakville, ON"
Business Analyst,CAE,"Saint-Laurent, QC"
Business Analyst 0107-0915,Foilcon,"Guelph, ON"
Evaluation Analyst,Michael Smith Health Research BC,"Hybrid work in Vancouver, BC"
Power Business Intelligence Developer,Fix Network,"Hybrid work in Burnaby, BC"
"Senior Data Analyst, CAADSI",Fraser Health,"Hybrid work in Surrey, BC"
Actuarial Analyst (Co-op Student) (Hybrid),Ontario Pension Board,"Toronto, ON"
"Senior Analyst, Business Initiatives & Analyst, JFL",Jarislowsky Fraser,"Toronto, ON"
IT Controls & Compliance Analyst – Information Technology,Alberta Blue Cross,Remote
Business Process Analyst,Healthcare & Municipal Employees' Credit Union,"Hybrid work in Hamilton, ON"
Sr. BI & Analytics Specialist,Federated Co-operatives Limited,"Saskatoon, SK"
Analyst - Decision Support,Orillia Soldiers' Memorial Hospital,"Orillia, ON"
"Systems Analyst, Cloud and Data Center",JDI IT,"Dartmouth, NS"
Analyst (Hybrid Role),Tjene Corp,"Toronto, ON"
"Sr. Research Analyst, Future of Work (13 month contract)","International Data Group, Inc.","Hybrid work in Toronto, ON"
Senior Business Analyst,CTConsultants,"Hybrid work in Montréal, QC"
Senior Revenue Strategy Analyst,1Password,Remote
Senior Strategic Analyst,National Research Council Canada,"Ottawa, ON"
Analyste de données senior - Senior data analyst,Gameloft Montréal,"Montréal, QC"
database analyst,Infitious Technologies,"Hamilton, ON"
"Systems Analyst, Cloud and Data Center",JDI IT,"Dartmouth, NS"
Analyst (Hybrid Role),Tjene Corp,"Toronto, ON"
"Sr. Research Analyst, Future of Work (13 month contract)","International Data Group, Inc.","Hybrid work in Toronto, ON"
Senior Business Analyst,CTConsultants,"Hybrid work in Montréal, QC"
Senior Revenue Strategy Analyst,1Password,Remote
database analyst,Infitious Technologies,"Hamilton, ON"
Senior Strategic Analyst,National Research Council Canada,"Ottawa, ON"
Analyste de données senior - Senior data analyst,Gameloft Montréal,"Montréal, QC"
Senior Laboratory Analyst (Inventory) ***Amendment to salary range,Canadian Food Inspection Agency,"Winnipeg, MB"
"Senior Analyst - Live Service, The Sims™",Electronic Arts,"Vancouver, BC"
Forecast Business Analyst,Scarsin,"Uxbridge, ON"
Senior Data Analyst,Vantix Systems Inc,"Remote in Edmonton, AB"
Strategic Risk Growth Analyst,Vault Credit Corporation,"Hybrid work in Toronto, ON"
Sr. Data Analyst (Renal & Oncology Program),Michael Garron Hospital,"Toronto, ON"
"analyst, database",A.P.H INTERNATIONAL LTD.,"Mississauga, ON"
